"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
BELOIT HEALTH SYSTEM,520100,WI,READM-30-PN-HRRP,148,,0.9766,16.6380,17.0372,23,07/01/2020,06/30/2023
BELOIT HEALTH SYSTEM,520100,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BELOIT HEALTH SYSTEM,520100,WI,READM-30-HF-HRRP,268,,0.9756,19.6847,20.1770,51,07/01/2020,06/30/2023
BELOIT HEALTH SYSTEM,520100,WI,READM-30-COPD-HRRP,N/A,,0.9174,17.5619,19.1430,Too Few to Report,07/01/2020,06/30/2023
BELOIT HEALTH SYSTEM,520100,WI,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BELOIT HEALTH SYSTEM,520100,WI,READM-30-AMI-HRRP,99,,0.9704,13.5689,13.9825,12,07/01/2020,06/30/2023
AURORA LAKELAND MEDICAL CENTER,520102,WI,READM-30-PN-HRRP,114,,0.9413,14.9328,15.8648,13,07/01/2020,06/30/2023
AURORA LAKELAND MEDICAL CENTER,520102,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA LAKELAND MEDICAL CENTER,520102,WI,READM-30-HF-HRRP,157,,0.9594,19.7019,20.5361,28,07/01/2020,06/30/2023
AURORA LAKELAND MEDICAL CENTER,520102,WI,READM-30-COPD-HRRP,N/A,,1.0194,18.9615,18.6001,Too Few to Report,07/01/2020,06/30/2023
AURORA LAKELAND MEDICAL CENTER,520102,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA LAKELAND MEDICAL CENTER,520102,WI,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
COMMUNITY MEMORIAL HOSPITAL,520103,WI,READM-30-PN-HRRP,230,,1.0627,16.8938,15.8963,43,07/01/2020,06/30/2023
COMMUNITY MEMORIAL HOSPITAL,520103,WI,READM-30-HIP-KNEE-HRRP,N/A,,1.2007,7.4877,6.2360,Too Few to Report,07/01/2020,06/30/2023
COMMUNITY MEMORIAL HOSPITAL,520103,WI,READM-30-HF-HRRP,413,,1.1248,20.5234,18.2456,93,07/01/2020,06/30/2023
COMMUNITY MEMORIAL HOSPITAL,520103,WI,READM-30-COPD-HRRP,98,,0.9609,17.8052,18.5304,15,07/01/2020,06/30/2023
COMMUNITY MEMORIAL HOSPITAL,520103,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
COMMUNITY MEMORIAL HOSPITAL,520103,WI,READM-30-AMI-HRRP,N/A,,1.0167,13.8369,13.6090,Too Few to Report,07/01/2020,06/30/2023
HOLY FAMILY MEMORIAL,520107,WI,READM-30-PN-HRRP,89,,1.0246,16.1544,15.7667,16,07/01/2020,06/30/2023
HOLY FAMILY MEMORIAL,520107,WI,READM-30-HIP-KNEE-HRRP,N/A,,1.0988,4.8770,4.4385,Too Few to Report,07/01/2020,06/30/2023
HOLY FAMILY MEMORIAL,520107,WI,READM-30-HF-HRRP,116,,1.0518,18.5708,17.6568,25,07/01/2020,06/30/2023
HOLY FAMILY MEMORIAL,520107,WI,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HOLY FAMILY MEMORIAL,520107,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HOLY FAMILY MEMORIAL,520107,WI,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MILE BLUFF MEDICAL CENTER,520109,WI,READM-30-PN-HRRP,87,,0.9831,15.0881,15.3473,12,07/01/2020,06/30/2023
MILE BLUFF MEDICAL CENTER,520109,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MILE BLUFF MEDICAL CENTER,520109,WI,READM-30-HF-HRRP,N/A,,1.0011,16.4529,16.4341,Too Few to Report,07/01/2020,06/30/2023
MILE BLUFF MEDICAL CENTER,520109,WI,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MILE BLUFF MEDICAL CENTER,520109,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MILE BLUFF MEDICAL CENTER,520109,WI,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BAY AREA MEDICAL CENTER,520113,WI,READM-30-PN-HRRP,222,,1.0719,17.6923,16.5053,44,07/01/2020,06/30/2023
BAY AREA MEDICAL CENTER,520113,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BAY AREA MEDICAL CENTER,520113,WI,READM-30-HF-HRRP,186,,1.1540,23.9756,20.7770,55,07/01/2020,06/30/2023
BAY AREA MEDICAL CENTER,520113,WI,READM-30-COPD-HRRP,87,,0.9453,20.1562,21.3226,14,07/01/2020,06/30/2023
BAY AREA MEDICAL CENTER,520113,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BAY AREA MEDICAL CENTER,520113,WI,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WATERTOWN MEMORIAL HOSPITAL,520116,WI,READM-30-PN-HRRP,N/A,,0.9550,13.1816,13.8033,Too Few to Report,07/01/2020,06/30/2023
WATERTOWN MEMORIAL HOSPITAL,520116,WI,READM-30-HIP-KNEE-HRRP,N/A,,1.1758,5.3776,4.5736,Too Few to Report,07/01/2020,06/30/2023
WATERTOWN MEMORIAL HOSPITAL,520116,WI,READM-30-HF-HRRP,119,,0.9783,17.2283,17.6098,19,07/01/2020,06/30/2023
WATERTOWN MEMORIAL HOSPITAL,520116,WI,READM-30-COPD-HRRP,N/A,,1.0086,15.9504,15.8144,Too Few to Report,07/01/2020,06/30/2023
WATERTOWN MEMORIAL HOSPITAL,520116,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WATERTOWN MEMORIAL HOSPITAL,520116,WI,READM-30-AMI-HRRP,N/A,,1.0430,11.4652,10.9921,Too Few to Report,07/01/2020,06/30/2023
ASCENSION SE WISCONSIN HOSPITAL,520136,WI,READM-30-PN-HRRP,243,,1.0222,15.8574,15.5129,40,07/01/2020,06/30/2023
ASCENSION SE WISCONSIN HOSPITAL,520136,WI,READM-30-HIP-KNEE-HRRP,N/A,,0.9332,4.6418,4.9739,Too Few to Report,07/01/2020,06/30/2023
ASCENSION SE WISCONSIN HOSPITAL,520136,WI,READM-30-HF-HRRP,380,,0.8869,16.9097,19.0661,56,07/01/2020,06/30/2023
ASCENSION SE WISCONSIN HOSPITAL,520136,WI,READM-30-COPD-HRRP,69,,1.0261,18.0241,17.5664,14,07/01/2020,06/30/2023
ASCENSION SE WISCONSIN HOSPITAL,520136,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION SE WISCONSIN HOSPITAL,520136,WI,READM-30-AMI-HRRP,102,,1.0539,14.1905,13.4653,17,07/01/2020,06/30/2023
AURORA ST LUKES MEDICAL CENTER,520138,WI,READM-30-PN-HRRP,507,,1.0795,19.6518,18.2048,105,07/01/2020,06/30/2023
AURORA ST LUKES MEDICAL CENTER,520138,WI,READM-30-HIP-KNEE-HRRP,N/A,,0.9887,6.6268,6.7026,Too Few to Report,07/01/2020,06/30/2023
AURORA ST LUKES MEDICAL CENTER,520138,WI,READM-30-HF-HRRP,1362,,0.9548,20.5076,21.4793,276,07/01/2020,06/30/2023
AURORA ST LUKES MEDICAL CENTER,520138,WI,READM-30-COPD-HRRP,238,,0.9334,19.4828,20.8730,42,07/01/2020,06/30/2023
AURORA ST LUKES MEDICAL CENTER,520138,WI,READM-30-CABG-HRRP,328,,0.9992,11.5940,11.6039,38,07/01/2020,06/30/2023
AURORA ST LUKES MEDICAL CENTER,520138,WI,READM-30-AMI-HRRP,512,,0.9297,13.9712,15.0282,68,07/01/2020,06/30/2023
WEST ALLIS MEMORIAL HOSPITAL,520139,WI,READM-30-PN-HRRP,220,,0.9504,15.1904,15.9837,30,07/01/2020,06/30/2023
WEST ALLIS MEMORIAL HOSPITAL,520139,WI,READM-30-HIP-KNEE-HRRP,N/A,,1.0699,5.7956,5.4169,Too Few to Report,07/01/2020,06/30/2023
WEST ALLIS MEMORIAL HOSPITAL,520139,WI,READM-30-HF-HRRP,298,,0.9108,17.9542,19.7129,47,07/01/2020,06/30/2023
WEST ALLIS MEMORIAL HOSPITAL,520139,WI,READM-30-COPD-HRRP,N/A,,0.9055,16.1787,17.8665,Too Few to Report,07/01/2020,06/30/2023
WEST ALLIS MEMORIAL HOSPITAL,520139,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WEST ALLIS MEMORIAL HOSPITAL,520139,WI,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,WI,READM-30-PN-HRRP,148,,0.9110,14.3190,15.7180,15,07/01/2020,06/30/2023
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,WI,READM-30-HIP-KNEE-HRRP,N/A,,0.8905,4.7713,5.3583,Too Few to Report,07/01/2020,06/30/2023
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,WI,READM-30-HF-HRRP,219,,0.9087,16.2076,17.8360,29,07/01/2020,06/30/2023
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,WI,READM-30-COPD-HRRP,N/A,,0.9563,15.7317,16.4513,Too Few to Report,07/01/2020,06/30/2023
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,WI,READM-30-CABG-HRRP,N/A,,0.9050,8.7621,9.6822,Too Few to Report,07/01/2020,06/30/2023
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,WI,READM-30-AMI-HRRP,N/A,,0.8529,9.4825,11.1181,Too Few to Report,07/01/2020,06/30/2023
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,READM-30-PN-HRRP,409,,1.0300,18.5637,18.0233,78,07/01/2020,06/30/2023
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,READM-30-HF-HRRP,622,,0.9858,21.2264,21.5313,131,07/01/2020,06/30/2023
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,READM-30-COPD-HRRP,174,,1.0960,22.4384,20.4737,45,07/01/2020,06/30/2023
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,READM-30-CABG-HRRP,87,,1.1379,12.2873,10.7986,15,07/01/2020,06/30/2023
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,READM-30-AMI-HRRP,179,,1.2141,16.9762,13.9821,40,07/01/2020,06/30/2023
AURORA MEDICAL CENTER KENOSHA,520189,WI,READM-30-PN-HRRP,254,,1.0303,16.9201,16.4227,45,07/01/2020,06/30/2023
AURORA MEDICAL CENTER KENOSHA,520189,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CENTER KENOSHA,520189,WI,READM-30-HF-HRRP,288,,0.9534,19.2212,20.1612,52,07/01/2020,06/30/2023
AURORA MEDICAL CENTER KENOSHA,520189,WI,READM-30-COPD-HRRP,N/A,,0.9698,17.4455,17.9885,Too Few to Report,07/01/2020,06/30/2023
AURORA MEDICAL CENTER KENOSHA,520189,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CENTER KENOSHA,520189,WI,READM-30-AMI-HRRP,N/A,,1.0339,13.2406,12.8064,Too Few to Report,07/01/2020,06/30/2023
AURORA BAYCARE MEDICAL CTR,520193,WI,READM-30-PN-HRRP,133,,0.9344,16.2333,17.3731,17,07/01/2020,06/30/2023
AURORA BAYCARE MEDICAL CTR,520193,WI,READM-30-HIP-KNEE-HRRP,N/A,,1.0585,7.2332,6.8333,Too Few to Report,07/01/2020,06/30/2023
AURORA BAYCARE MEDICAL CTR,520193,WI,READM-30-HF-HRRP,176,,0.9921,21.3490,21.5198,37,07/01/2020,06/30/2023
AURORA BAYCARE MEDICAL CTR,520193,WI,READM-30-COPD-HRRP,N/A,,1.0116,16.1927,16.0066,Too Few to Report,07/01/2020,06/30/2023
AURORA BAYCARE MEDICAL CTR,520193,WI,READM-30-CABG-HRRP,N/A,,1.0387,10.1325,9.7553,Too Few to Report,07/01/2020,06/30/2023
AURORA BAYCARE MEDICAL CTR,520193,WI,READM-30-AMI-HRRP,124,,0.9515,11.5517,12.1401,12,07/01/2020,06/30/2023
ORTHOPAEDIC HOSPITAL OF WISCONSIN,520194,WI,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ORTHOPAEDIC HOSPITAL OF WISCONSIN,520194,WI,READM-30-HIP-KNEE-HRRP,687,,0.8391,3.3774,4.0252,21,07/01/2020,06/30/2023
ORTHOPAEDIC HOSPITAL OF WISCONSIN,520194,WI,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ORTHOPAEDIC HOSPITAL OF WISCONSIN,520194,WI,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ORTHOPAEDIC HOSPITAL OF WISCONSIN,520194,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ORTHOPAEDIC HOSPITAL OF WISCONSIN,520194,WI,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
OAKLEAF SURGICAL HOSPITAL,520196,WI,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
OAKLEAF SURGICAL HOSPITAL,520196,WI,READM-30-HIP-KNEE-HRRP,N/A,,0.8862,4.1244,4.6542,Too Few to Report,07/01/2020,06/30/2023
OAKLEAF SURGICAL HOSPITAL,520196,WI,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
OAKLEAF SURGICAL HOSPITAL,520196,WI,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
OAKLEAF SURGICAL HOSPITAL,520196,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
OAKLEAF SURGICAL HOSPITAL,520196,WI,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-PN-HRRP,108,,0.9765,16.3114,16.7038,16,07/01/2020,06/30/2023
AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-HF-HRRP,123,,0.9952,19.7884,19.8839,24,07/01/2020,06/30/2023
AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-COPD-HRRP,N/A,,0.9529,16.8529,17.6864,Too Few to Report,07/01/2020,06/30/2023
AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-AMI-HRRP,N/A,,0.9683,12.9746,13.3994,Too Few to Report,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - WESTON,520202,WI,READM-30-PN-HRRP,115,,1.0043,15.4042,15.3390,18,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - WESTON,520202,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - WESTON,520202,WI,READM-30-HF-HRRP,188,,0.9583,18.0561,18.8409,31,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - WESTON,520202,WI,READM-30-COPD-HRRP,N/A,,0.9962,16.0504,16.1112,Too Few to Report,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - WESTON,520202,WI,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - WESTON,520202,WI,READM-30-AMI-HRRP,200,,0.9647,12.3488,12.8012,23,07/01/2020,06/30/2023
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,520205,WI,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,520205,WI,READM-30-HIP-KNEE-HRRP,328,,1.0582,4.9629,4.6899,17,07/01/2020,06/30/2023
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,520205,WI,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,520205,WI,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,520205,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,520205,WI,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CENTER - SUMMIT,520206,WI,READM-30-PN-HRRP,120,,0.9067,14.5797,16.0797,11,07/01/2020,06/30/2023
AURORA MEDICAL CENTER - SUMMIT,520206,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CENTER - SUMMIT,520206,WI,READM-30-HF-HRRP,183,,0.9530,18.7734,19.6995,31,07/01/2020,06/30/2023
AURORA MEDICAL CENTER - SUMMIT,520206,WI,READM-30-COPD-HRRP,52,,1.0282,17.9180,17.4274,11,07/01/2020,06/30/2023
AURORA MEDICAL CENTER - SUMMIT,520206,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
AURORA MEDICAL CENTER - SUMMIT,520206,WI,READM-30-AMI-HRRP,110,,0.9441,12.4864,13.2257,11,07/01/2020,06/30/2023
AURORA MEDICAL CENTER,520207,WI,READM-30-PN-HRRP,283,,0.9994,16.6225,16.6327,47,07/01/2020,06/30/2023
AURORA MEDICAL CENTER,520207,WI,READM-30-HIP-KNEE-HRRP,N/A,,0.9910,5.4881,5.5378,Too Few to Report,07/01/2020,06/30/2023
AURORA MEDICAL CENTER,520207,WI,READM-30-HF-HRRP,351,,1.0863,21.9584,20.2138,83,07/01/2020,06/30/2023
AURORA MEDICAL CENTER,520207,WI,READM-30-COPD-HRRP,N/A,,0.9517,17.3581,18.2388,Too Few to Report,07/01/2020,06/30/2023
AURORA MEDICAL CENTER,520207,WI,READM-30-CABG-HRRP,N/A,,1.0143,9.1988,9.0688,Too Few to Report,07/01/2020,06/30/2023
AURORA MEDICAL CENTER,520207,WI,READM-30-AMI-HRRP,131,,0.9863,11.9422,12.1080,15,07/01/2020,06/30/2023
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,520208,WI,READM-30-PN-HRRP,91,,1.0117,15.6269,15.4466,15,07/01/2020,06/30/2023
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,520208,WI,READM-30-HIP-KNEE-HRRP,N/A,,0.8516,3.1561,3.7060,Too Few to Report,07/01/2020,06/30/2023
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,520208,WI,READM-30-HF-HRRP,110,,1.0429,18.2860,17.5338,23,07/01/2020,06/30/2023
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,520208,WI,READM-30-COPD-HRRP,N/A,,0.9929,20.1750,20.3198,Too Few to Report,07/01/2020,06/30/2023
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,520208,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,520208,WI,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - EAU CLAIRE,520210,WI,READM-30-PN-HRRP,113,,0.9618,16.5196,17.1758,16,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - EAU CLAIRE,520210,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - EAU CLAIRE,520210,WI,READM-30-HF-HRRP,81,,0.9994,19.8066,19.8189,16,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - EAU CLAIRE,520210,WI,READM-30-COPD-HRRP,N/A,,0.9488,15.7144,16.5623,Too Few to Report,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - EAU CLAIRE,520210,WI,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - EAU CLAIRE,520210,WI,READM-30-AMI-HRRP,N/A,,0.9045,11.9264,13.1853,Too Few to Report,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - MINOCQUA,520212,WI,READM-30-PN-HRRP,N/A,,0.9186,13.6317,14.8399,Too Few to Report,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - MINOCQUA,520212,WI,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - MINOCQUA,520212,WI,READM-30-HF-HRRP,93,,1.0003,18.2561,18.2504,17,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - MINOCQUA,520212,WI,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - MINOCQUA,520212,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - MINOCQUA,520212,WI,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FROEDTERT COMMUNITY HOSPITAL,520213,WI,READM-30-PN-HRRP,N/A,,0.9550,11.9219,12.4831,Too Few to Report,07/01/2020,06/30/2023
FROEDTERT COMMUNITY HOSPITAL,520213,WI,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FROEDTERT COMMUNITY HOSPITAL,520213,WI,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FROEDTERT COMMUNITY HOSPITAL,520213,WI,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FROEDTERT COMMUNITY HOSPITAL,520213,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FROEDTERT COMMUNITY HOSPITAL,520213,WI,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION WISCONSIN HOSP MENOMONEE FALLS CAMPUS,520214,WI,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION WISCONSIN HOSP MENOMONEE FALLS CAMPUS,520214,WI,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION WISCONSIN HOSP MENOMONEE FALLS CAMPUS,520214,WI,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION WISCONSIN HOSP MENOMONEE FALLS CAMPUS,520214,WI,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION WISCONSIN HOSP MENOMONEE FALLS CAMPUS,520214,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ASCENSION WISCONSIN HOSP MENOMONEE FALLS CAMPUS,520214,WI,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - RIVER REGION,520215,WI,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - RIVER REGION,520215,WI,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - RIVER REGION,520215,WI,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - RIVER REGION,520215,WI,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - RIVER REGION,520215,WI,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARSHFIELD MEDICAL CENTER - RIVER REGION,520215,WI,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CAMPBELL COUNTY HEALTH,530002,WY,READM-30-PN-HRRP,N/A,,0.9428,13.8517,14.6921,Too Few to Report,07/01/2020,06/30/2023
CAMPBELL COUNTY HEALTH,530002,WY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CAMPBELL COUNTY HEALTH,530002,WY,READM-30-HF-HRRP,98,,0.9767,19.0243,19.4774,17,07/01/2020,06/30/2023
CAMPBELL COUNTY HEALTH,530002,WY,READM-30-COPD-HRRP,N/A,,0.9850,15.5324,15.7690,Too Few to Report,07/01/2020,06/30/2023
CAMPBELL COUNTY HEALTH,530002,WY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CAMPBELL COUNTY HEALTH,530002,WY,READM-30-AMI-HRRP,N/A,,1.0434,10.6804,10.2359,Too Few to Report,07/01/2020,06/30/2023
SHERIDAN MEMORIAL HOSPITAL,530006,WY,READM-30-PN-HRRP,209,,1.0028,13.3096,13.2721,28,07/01/2020,06/30/2023
SHERIDAN MEMORIAL HOSPITAL,530006,WY,READM-30-HIP-KNEE-HRRP,N/A,,0.9471,3.6242,3.8266,Too Few to Report,07/01/2020,06/30/2023
SHERIDAN MEMORIAL HOSPITAL,530006,WY,READM-30-HF-HRRP,162,,0.9634,15.7424,16.3406,23,07/01/2020,06/30/2023
SHERIDAN MEMORIAL HOSPITAL,530006,WY,READM-30-COPD-HRRP,N/A,,0.9500,13.3721,14.0764,Too Few to Report,07/01/2020,06/30/2023
